,Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code,Idx
520,کی بی سی,شرکت کی بی سی,فرابورس,بازار دوم فرابورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,KBC Company,IRO3KBCZ0000,KBCZ,KBCZ1,IRO3KBCZ0001,43,4323,3,1521
521,گدنا,تهیه توزیع غذای دنا آفرین فدک,فرابورس,بازار اول فرابورس,هتل و رستوران,فعالیت خدماتی مربوط به غذا و آشامیدنی ها,-,Dona Catering,IRO3DCAZ0000,DCAZ,DCAZ1,IRO3DCAZ0001,55,5520,1,1522
522,گکوثر,هتل پارسیان کوثر اصفهان,فرابورس,بازار دوم فرابورس,هتل و رستوران,هتل ها ، اردو و دیگر تدارکات اقامت کوتاه,-,ParsianKosar Hotel,IRO3PKHZ0009,PKHZ,PKHZ1,IRO3PKHZ0001,55,5510,3,1523
523,گلدیرا,صنایع گلدیران,فرابورس,بازار دوم فرابورس,ماشین آلات و تجهیزات,تولید وسایل خانگی,-,GoldIran,IRO3GOIZ0005,GOIZ,GOIZ1,IRO3GOIZ0001,29,2930,3,1524
524,گوهران,سرمایه گذاری توسعه گوهران امید,فرابورس,بازار دوم فرابورس,سرمایه گذاریها,سایر واسطه های مالی,-,Omid Goharan,IRO3GOMZ0009,GOMZ,GOMZ1,IRO3GOMZ0001,56,5699,3,1525
525,لطیف,محصولات کاغذی لطیف,فرابورس,بازار اول فرابورس,محصولات کاغذی,تولید سایر محصولات کاغذ و مقوا,-,Latif Paper,IRO3LPCZ0003,LPCZ,LPCZ1,IRO3LPCZ0001,21,2109,1,1526
526,مادیرا,صنایع مادیران,فرابورس,بازار دوم فرابورس,تولید محصولات کامپیوتری الکترونیکی ونوری,تولید رایانه و تجهیزات جانبی,-,MaadiranIndustries,IRO3IOMZ0007,IOMZ,IOMZ1,IRO3IOMZ0001,26,2620,3,1527
527,مارون,پتروشیمی مارون,فرابورس,بازار دوم فرابورس,محصولات شیمیایی,تولید مواد شیمیایی پایه به جز کود,-,Maroon Petro.,IRO3PMRZ0005,PMRZ,PMRZ1,IRO3PMRZ0001,44,4411,3,1528
528,مدیریت,س. و خدمات مدیریت صند. ب کشوری,فرابورس,بازار اول فرابورس,سرمایه گذاریها,سایر واسطه های مالی,-,Inv. Srv. of CSPF,IRO3ISMZ0003,ISMZ,ISMZ1,IRO3ISMZ0001,56,5699,1,1529
529,مفاخر,توسعه فناوری اطلاعات خوارزمی,فرابورس,بازار اول فرابورس,رایانه و فعالیت های وابسته به آن,سایر فعالیت های رایانه ای,-,Kharazmi Info.,IRO3KARZ0004,KARZ,KARZ1,IRO3KARZ0001,72,7200,1,1530
530,میهن,بیمه میهن,فرابورس,بازار دوم فرابورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,فعالیتهای مالی و اجرائی,-,Mihan Insurance,IRO3MIHZ0006,MIHZ,MIHZ1,IRO3MIHZ0001,66,6611,3,1531
531,نطرین,عطرین نخ قم,فرابورس,بازار اول فرابورس,منسوجات,آماده سازی و ریسندگی نخ، پارچه بافی,-,Atrin Nakh Qom,IRO3ANQZ0002,ANQZ,ANQZ1,IRO3ANQZ0001,17,1711,1,1532
532,نوین,بیمه نوین,فرابورس,بازار اول فرابورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,فعالیتهای مالی و اجرائی,-,Novin Bime,IRO3BNOP0005,BNOP,BNOP1,IRO3BNOP0001,66,6611,1,1533
533,هجرت,پخش هجرت,فرابورس,بازار دوم فرابورس,مواد و محصولات دارویی,تولید سایر محصولات دارویی,-,HejratDistribution,IRO3HEDZ0001,HEDZ,HEDZ1,IRO3HEDZ0001,43,4399,3,1534
534,هرمز,فولاد هرمزگان جنوب,فرابورس,بازار دوم فرابورس,فلزات اساسی,تولید آهن و فولاد پایه,-,Hormozgan Co.,IRO3FOHZ0007,FOHZ,FOHZ1,IRO3FOHZ0001,27,2710,3,1535
535,وآوا,سرمایه گذاری آوا نوین,فرابورس,بازار اول فرابورس,سرمایه گذاریها,سایر واسطه های مالی,-,Ava Novin INVEST,IRO3ANIZ0002,ANIZ,ANIZ1,IRO3ANIZ0001,56,5699,1,1536
536,وپویا,سرمایه گذاری پویا,فرابورس,بازار اول فرابورس,سرمایه گذاریها,سایر واسطه های مالی,-,Pouya Investment,IRO3PIVZ0005,PIVZ,PIVZ1,IRO3PIVZ0001,56,5699,1,1537
537,وتعاون,بیمه تعاون,فرابورس,بازار دوم فرابورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه غیرزندگی,-,Taavon Ins.,IRO3TAVZ0009,TAVZ,TAVZ1,IRO3TAVZ0001,66,6603,3,1538
538,ودی,بیمه دی,فرابورس,بازار اول فرابورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه غیرزندگی,-,Day Bime,IRO3BMDZ0007,BMDZ,BMDZ1,IRO3BMDZ0001,66,6603,1,1539
539,وسبحان,سرمایه گذاری سبحان,فرابورس,بازار اول فرابورس,سرمایه گذاریها,سایر واسطه های مالی,-,Sobhan Invest.,IRO3SOBZ0008,SOBZ,SOBZ1,IRO3SOBZ0001,56,5699,1,1540
